Device ID,Name,Type,Manufacturer,Purchase Date,Created On,Last Update,Owner ID,Status
TEL125472,devices121212,Tablet,Cisco,2025-09-01,2025-09-02,2025-09-22,null,Retired
TEL223504,rttyy,Laptop,Apple,2025-09-02,2025-09-11,2025-09-11,null,Retired
TEL260370,newone,Laptop,Cisco,2025-09-03,2025-09-11,2025-09-23,null,inactive
TEL267128,aaadd,Laptop,Apple,2025-09-02,2025-09-05,2025-09-18,null,Retired
TEL278739,APPLETV,Router,Cisco,2025-08-02,2025-09-17,2025-09-23,null,Active
TEL280372,Timer2,Router,Cisco,2025-09-06,2025-09-21,2025-09-23,OWN024689,Retired
TEL292741,Device_2741,Smartwatch,Apple,2021-06-03,2021-06-03,2023-06-04,null,inactive
TEL303391,device_BBB,Laptop,Cisco,2025-08-07,2025-09-02,2025-09-23,null,Retired
TEL313876,SPlunk_test,Laptop,Apple,2025-09-04,2025-09-08,2025-09-19,null,inactive
TEL316842,Device_6842,Smartphone,Cisco,2022-07-12,2022-07-12,2025-09-05,OWN579134,inactive
TEL321987,Device_1987,Smartwatch,Garmin,2021-06-01,2021-06-01,2025-09-05,OWN468023,inactive
TEL322872,ahah,Router,Apple,2025-09-02,2025-09-05,2025-09-19,null,inactive
TEL372179,retired_1,Router,Cisco,2025-09-03,2025-09-11,2025-09-11,null,Retired
TEL374690,time_try,Laptop,Apple,2025-09-21,2025-09-21,2025-09-21,null,Active
TEL400155,register_timer,Laptop,Cisco,2025-09-05,2025-09-21,2025-09-21,null,inactive
TEL453289,Device_3289,Smartwatch,Garmin,2021-06-01,2021-06-01,2025-09-05,OWN468023,inactive
TEL479203,Device_9203,Smartphone,Garmin,2023-06-03,2023-06-03,2024-07-01,null,inactive
TEL479758,Device_9758,Smartphone,Garmin,2020-06-04,2020-06-04,2025-09-05,null,inactive
TEL495503,hhh,Router,Apple,2025-09-11,2025-09-11,2025-09-11,null,Retired
TEL502501,dONT WORRY,Laptop,Apple,2025-09-02,2025-09-03,2025-09-08,null,inactive
TEL525635,device_xyz,Router,Apple,2025-08-14,2025-09-02,2025-09-19,OWN012345,Retired
TEL531782,tvaa,Laptop,Apple,2025-08-02,2025-09-02,2025-09-02,null,inactive
TEL531984,device_xyz,Laptop,Apple,2025-08-06,2025-09-02,2025-09-02,null,inactive
TEL550437,aststst,Laptop,Apple,2025-09-01,2025-09-02,2025-09-20,null,inactive
TEL562964,dsgs,Router,Cisco,2025-09-01,2025-09-02,2025-09-20,null,inactive
TEL570598,device_xyz,Laptop,Apple,2025-08-05,2025-09-02,2025-09-20,null,Retired
TEL572489,der34,Laptop,Dell,2025-09-19,2025-09-19,2025-09-20,OWN468023,Active
TEL574408,Device_4408,Smartphone,Garmin,2021-06-01,2021-06-01,2024-06-01,OWN468023,Active
TEL626470,device_final,Router,Cisco,2025-09-05,2025-09-23,2025-09-23,null,Active
TEL650962,deving,Laptop,Apple,2025-09-03,2025-09-22,2025-09-22,null,Active
TEL654321,Device_4321,Laptop,Cisco,2021-06-01,2021-06-01,2024-06-01,OWN468023,Active
TEL655687,splunk_tsets,Laptop,Apple,2025-09-05,2025-09-15,2025-09-20,OWN468023,Active
TEL658109,APPLETV,Laptop,Apple,2025-08-02,2025-09-02,2025-09-02,null,Active
TEL659818,device_xyzAA,Laptop,Cisco,2025-08-06,2025-09-02,2025-09-02,null,Active
TEL667790,fff,Router,Apple,2025-09-03,2025-09-11,2025-09-11,null,Retired
TEL689037,not_test,Laptop,Apple,2025-09-02,2025-09-15,2025-09-15,null,Active
TEL789654,Device_9654,Tablet,Apple,2021-06-01,2021-06-01,2024-06-01,OWN468023,Active
TEL793373,der34,Laptop,Dell,2025-09-19,2025-09-19,2025-09-19,null,Active
TEL852963,Device_2963,Tablet,Apple,2021-06-01,2021-06-01,2024-06-01,OWN468023,Active
TEL859325,Device_9325,Smartphone,Garmin,2021-06-03,2021-06-03,2023-06-01,OWN468023,Active
TEL880080,splunkin,Laptop,Apple,2025-09-11,2025-09-14,2025-09-14,null,inactive
TEL933261,Device_3261,Smartwatch,Garmin,2021-06-01,2021-06-01,2024-06-01,OWN468023,Active
TEL943263,sgsg,Laptop,Apple,2025-09-01,2025-09-05,2025-09-05,null,Active
TEL946839,Device_6839,Smartphone,Garmin,2022-06-01,2022-06-01,2024-06-06,OWN579134,Active
TEL964212,Device_4212,Smartwatch,Garmin,2021-06-01,2021-06-01,2024-06-01,null,Active
TEL964847,Device_4847,Smartwatch,Samsung,2021-06-01,2021-06-01,2023-06-17,null,inactive
TEL974461,ssg,Router,Apple,2025-09-03,2025-09-04,2025-09-04,null,Active
TEL982347,Device_2347,Smartwatch,Samsung,2021-06-01,2021-06-01,2024-06-01,null,inactive
TEL987654,Device_7654,Smartphone,Samsung,2021-06-01,2021-06-01,2024-06-01,OWN468023,Active
TEL993453,Device_3453,Smartwatch,Garmin,2021-06-01,2021-06-01,2024-06-01,OWN468023,Active
