Device ID,Timestamp,Status
TEL292741,2021-06-03T00:00,Active
TEL316842,2022-07-12T00:00,Active
TEL321987,2021-06-01T00:00,Active
TEL453289,2021-06-01T00:00,Active
TEL479203,2023-06-03T00:00,Active
TEL479758,2020-06-04T00:00,Active
TEL574408,2021-06-01T00:00,Active
TEL654321,2021-06-01T00:00,Active
TEL789654,2021-06-01T00:00,Active
TEL852963,2021-06-01T00:00,Active
TEL859325,2021-06-03T00:00,Active
TEL933261,2021-06-01T00:00,Active
TEL946839,2022-06-01T00:00,Active
TEL964212,2021-06-01T00:00,Inactive
TEL964847,2021-06-01T00:00,Inactive
TEL982347,2021-06-01T00:00,Inactive
TEL987654,2021-06-01T00:00,Active
TEL993453,2021-06-01T00:00,Active
TEL292741,2021-05-04T00:00,Inactive
TEL316842,2022-06-12T00:00,Inactive
TEL321987,2021-05-02T00:00,Inactive
TEL453289,2021-05-02T00:00,Inactive
TEL479203,2023-05-04T00:00,Inactive
TEL479758,2020-05-05T00:00,Inactive
TEL574408,2021-05-02T00:00,Inactive
TEL654321,2021-05-02T00:00,Inactive
TEL789654,2021-05-02T00:00,Inactive
TEL852963,2021-05-02T00:00,Inactive
TEL859325,2021-05-04T00:00,Inactive
TEL933261,2021-05-02T00:00,Inactive
TEL946839,2022-05-02T00:00,Inactive
TEL964212,2021-05-02T00:00,Active
TEL964847,2021-05-02T00:00,Active
TEL982347,2021-05-02T00:00,Active
TEL987654,2021-05-02T00:00,Inactive
TEL993453,2021-05-02T00:00,Inactive
TEL531782,2025-09-02T13:39:50.982675,Active
TEL658109,2025-09-02T13:42:10.674809,Active
TEL550437,2025-09-02T15:54:17.192829,Active
TEL125472,2025-09-02T15:56:41.334371,Active
TEL562964,2025-09-02T15:59:13.394095,Active
TEL525635,2025-09-02T21:53:12.671530,Active
TEL531984,2025-09-02T21:57:42.426471,Active
TEL570598,2025-09-02T22:02:17.255205,Active
TEL659818,2025-09-02T22:07:02.895564,Active
TEL303391,2025-09-02T22:10:29.421718,Active
TEL125472,2025-09-03T15:25:10.746674,Inactive
TEL125472,2025-09-03T15:27:17.385917,Active
TEL125472,2025-09-03T15:27:42.296373,Inactive
TEL125472,2025-09-03T15:27:46.845653,Active
TEL125472,2025-09-03T15:28:19.824103,Inactive
TEL125472,2025-09-03T15:28:25.392692,Active
TEL125472,2025-09-03T15:28:48.397048,Inactive
TEL125472,2025-09-03T15:29:07.923395,Active
TEL964212,2025-09-03T15:30:15.826835,Active
TEL502501,2025-09-03T20:02:28.244873,Active
TEL292741,2025-09-04T14:33:09.320087,Inactive
TEL974461,2025-09-04T14:33:40.319700,Active
TEL125472,2025-09-05T11:10:44.846214,Inactive
TEL303391,2025-09-05T11:11:05.591711,Inactive
TEL316842,2025-09-05T11:11:38.369762,Inactive
TEL321987,2025-09-05T11:15:33.155439,Inactive
TEL453289,2025-09-05T11:16:09.037289,Inactive
TEL479203,2025-09-05T11:19:03.131878,Inactive
TEL943263,2025-09-05T11:34:31.732894,Active
TEL479758,2025-09-05T11:35:37.084990,Inactive
TEL322872,2025-09-05T11:50:31.553661,Active
TEL267128,2025-09-05T12:02:41.424303,Retired
TEL267128,2025-09-05T14:00:07.791301,Retired
TEL322872,2025-09-08T20:49:59.216780,inactive
TEL125472,2025-09-08T20:50:03.049356,active
TEL313876,2025-09-08T20:50:36.200883,Active
TEL125472,2025-09-08T20:53:34.257302,inactive
TEL125472,2025-09-08T20:53:37.361975,active
TEL260370,2025-09-11T09:52:15.823176,Active
TEL372179,2025-09-11T14:00:20.682610,Retired
TEL495503,2025-09-11T14:52:04.422177,Retired
TEL667790,2025-09-11T14:52:20.304024,Retired
TEL223504,2025-09-11T14:52:34.235086,Retired
TEL880080,2025-09-14T19:51:08.322909,Active
TEL655687,2025-09-15T13:26:53.684746,Active
TEL689037,2025-09-15T21:15:06.247798,Active
TEL260370,2025-09-17T14:58:39.345744,inactive
TEL267128,2025-09-18T09:05:50.343426,Retired
TEL278739,2025-09-18T10:55:40.345462,inactive
TEL292741,2025-09-19T09:36:40.625681,inactive
TEL313876,2025-09-19T09:42:33.553969,inactive
TEL322872,2025-09-19T09:57:45.424615,inactive
TEL525635,2025-09-19T10:00:09.894414,Retire
TEL502501,2025-09-19T13:14:15.113825,inactive
TEL531782,2025-09-19T13:34:58.767341,inactive
TEL572489,2025-09-19T14:12:24.577448,Active
TEL793373,2025-09-19T14:12:28.306608,Active
TEL531984,2025-09-19T14:34:15.765545,inactive
TEL550437,2025-09-20T23:05:35.642487,inactive
TEL550437,2025-09-20T23:05:59.346892,active
TEL550437,2025-09-20T23:06:58.504500,inactive
TEL562964,2025-09-20T23:13:44.677984,inactive
TEL570598,2025-09-20T23:13:52.780310,Retired
TEL374690,2025-09-21T17:10:30.916478,Active
TEL280372,2025-09-21T17:20:24.053379,Active
TEL400155,2025-09-21T17:30:13.495807,Active
TEL880080,2025-09-21T17:33:45.791828,inactive
TEL125472,2025-09-21T17:34:39.512571,active
TEL278739,2025-09-21T17:34:55.257457,active
TEL303391,2025-09-21T17:35:06.491119,active
TEL125472,2025-09-22T15:56:56.109027,inactive
TEL650962,2025-09-22T18:32:09.858564,Active
TEL125472,2025-09-22T18:33:52.060580,active
TEL292741,2025-09-22T18:34:14.962658,active
TEL292741,2025-09-22T18:34:48.888359,inactive
TEL125472,2025-09-22T18:37:29.786327,Retired
TEL626470,2025-09-23T09:23:14.447478,Active
TEL278739,2025-09-23T09:26:07.090398,Active
TEL278739,2025-09-23T09:27:01.605407,inactive
TEL280372,2025-09-23T09:27:20.442385,Retired
TEL260370,2025-09-23T09:27:51.068854,active
TEL260370,2025-09-23T10:35:18.510481,Active
TEL303391,2025-09-23T10:35:47.517204,Active
TEL260370,2025-09-23T10:36:24.996889,inactive
TEL278739,2025-09-23T10:36:45.762808,active
